type,durationMinutes,duratonHours,,startTime,endTime,startNum,endNum,eventDO,
<4.8,160.00,2.67,,8/10/2016 11:10,8/10/2016 13:50,42592.47,42592.58,4.54,
<4.8,669.99,11.17,,8/11/2016 2:50,8/11/2016 14:00,42593.12,42593.58,4.29,
<4.8,410.00,6.83,,8/12/2016 8:20,8/12/2016 15:10,42594.35,42594.63,4.43,
<4.8,619.99,10.33,,8/13/2016 5:10,8/13/2016 15:30,42595.22,42595.65,3.88,
<4.8,520.00,8.67,,8/14/2016 7:50,8/14/2016 16:30,42596.33,42596.69,4.23,
<4.8,880.01,14.67,,8/15/2016 1:40,8/15/2016 16:20,42597.07,42597.68,3.34,
<4.8,100.01,1.67,,8/16/2016 7:10,8/16/2016 8:50,42598.30,42598.37,4.77,
<4.8,79.99,1.33,,8/18/2016 9:40,8/18/2016 11:00,42600.40,42600.46,4.41,
<4.8,330.00,5.50,,8/22/2016 9:00,8/22/2016 14:30,42604.38,42604.60,3.96,
<4.8,120.00,2.00,,8/23/2016 6:00,8/23/2016 8:00,42605.25,42605.33,4.64,
<4.8,130.00,2.17,,8/23/2016 11:10,8/23/2016 13:20,42605.47,42605.56,4.72,
<4.8,110.00,1.83,,8/24/2016 12:20,8/24/2016 14:10,42606.51,42606.59,4.78,
<4.8,59.99,1.00,,8/25/2016 6:40,8/25/2016 7:40,42607.28,42607.32,4.45,
<4.8,129.99,2.17,,8/26/2016 7:00,8/26/2016 9:10,42608.29,42608.38,4.19,
<4.8,120.01,2.00,47.00,8/26/2016 11:20,8/26/2016 13:20,42608.47,42608.56,4.79,
<4.8,350.01,5.83,4.78,8/27/2016 4:10,8/27/2016 10:00,42609.17,42609.42,4.62,4.38
<4.8,130.00,2.17,3.60,8/27/2016 11:20,8/27/2016 13:30,42609.47,42609.56,4.48,0.42
