Site,hb_sensor,treatment,block,min_10,min_20,min_30,min_40,min_50,min_60,min_70,min_80,min_90,min_100,min_110,min_120
FI,0,hypoxic,1,33,34.2,33.6,30.6,27.6,27,22.8,25.8,23.4,22.8,28.2,22.8
MB,0,hypoxic,1,40.8,40.8,40.2,39.6,40.2,40.2,40.2,40.2,40.2,40.2,38.4,37.2
Nicoll Bay,0,hypoxic,1,39.6,40.2,NA,38.4,34.8,41.4,NA,36.6,36.6,36.6,36.6,33.6
Sag Harbor,0,hypoxic,1,36,36.6,36,34.8,31.8,31.8,39.6,30.6,31.8,28.8,31.8,28.8
FI,2,hypoxic,2,45,45,44.4,43.8,39.6,41.4,39,37.2,35.4,34.8,34.2,36
Nicoll Bay,2,hypoxic,2,25.8,24.6,25.8,25.2,31.2,35.4,37.2,39,42.6,39.6,42,41.4
Quantuck,2,hypoxic,2,45,44.4,44.4,45,44.4,45.6,46.2,47.4,48.6,46.2,46.8,49.2
Sag Harbor,2,hypoxic,2,36.6,37.8,37.8,36,37.2,34.2,NA,36.6,37.2,38.4,37.2,37.8
MB,4,hypoxic,3,37.8,40.2,36.6,36,35.4,30,31.2,NA,30,NA,35.4,27.6
Nicoll Bay,4,hypoxic,3,46.2,47.4,47.4,45.6,46.2,42.6,39.6,38.4,36.6,38.4,35.4,37.2
Quantuck,4,hypoxic,3,40.2,39.6,42,40.8,40.2,,46.8,45.6,42,42,42,39.6
Sag Harbor,4,hypoxic,3,42.6,42.6,42.6,42.6,41.4,38.4,35.4,34.2,34.8,34.2,30,33
FI,6,hypoxic,4,43.2,42,40.8,NA,NA,NA,38.4,NA,NA,NA,40.2,NA
MB,6,hypoxic,4,NA,36,NA,37.8,37.8,37.8,37.8,38.4,40.2,38.4,40.2,NA
Nicoll Bay,6,hypoxic,4,39,39,39,41.4,43.2,42.6,42.6,42.6,43.2,43.8,45.6,NA
Quantuck,6,hypoxic,4,36.6,37.8,35.4,32.4,28.8,NA,NA,NA,NA,NA,NA,NA
Sag Harbor,6,hypoxic,4,39,40.8,39,34.2,32.4,31.8,30.6,33,34.8,31.8,32.4,NA
FI,1,normoxic,1,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2
MB,1,normoxic,1,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
Nicoll Bay,1,normoxic,1,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6
Quantuck,1,normoxic,1,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9
Sag Harbor,1,normoxic,1,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84
FI,3,normoxic,2,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9
MB,3,normoxic,2,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56
Nicoll Bay,3,normoxic,2,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8
Quantuck,3,normoxic,2,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05
Sag Harbor,3,normoxic,2,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9
FI,5,normoxic,3,33,33,33,33,33,33,33,33,33,33,33,33
Nicoll Bay,5,normoxic,3,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1
Quantuck,5,normoxic,3,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
Sag Harbor,5,normoxic,3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3
FI,7,normoxic,4,29,29,29,29,29,29,29,29,29,29,29,29
MB,7,normoxic,4,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
Nicoll Bay,7,normoxic,4,26.64,26.64,26.64,26.64,26.64,26.64,26.64,26.64,26.64,26.64,26.64,26.64
Sag Harbor,7,normoxic,4,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1
