type,threshold,numberFound,avgDurMinutes,avgAvgDO,duration_hours,count*av_duration/av_mag
<1.0,0.99,16,338.13,0.85,5.64,105.52
<2.0,1.99,25,379.60,1.69,6.33,93.70
<3.0,2.99,39,372.82,2.26,6.21,107.14
<3.5,3.49,43,453.81,2.63,7.56,123.80
<4.8,4.79,53,540.58,3.51,9.01,136.06
