Bucket_num_and_HB_CH,Date,Site,Site_Bucket,BPM,TRMT,,,,,,,,,,,,,,,,,
0,9/3/16 3:29,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 3:39,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 3:49,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 3:59,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:09,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:19,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:29,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:39,FI,FI_0,37.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:49,FI,FI_0,37.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 4:59,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:09,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:19,FI,FI_0,37.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:29,FI,FI_0,37.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:39,FI,FI_0,37.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:49,FI,FI_0,37.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 5:59,FI,FI_0,37.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:09,FI,FI_0,37.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:19,FI,FI_0,36.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:29,FI,FI_0,36.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:39,FI,FI_0,36.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:49,FI,FI_0,37.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 6:59,FI,FI_0,39.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:09,FI,FI_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:19,FI,FI_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:29,FI,FI_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:39,FI,FI_0,39,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:49,FI,FI_0,37.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:59,FI,FI_0,36,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:09,FI,FI_0,36,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:19,FI,FI_0,36,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:29,FI,FI_0,36.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:39,FI,FI_0,36.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:49,FI,FI_0,36,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:59,FI,FI_0,36,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:09,FI,FI_0,36,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:19,FI,FI_0,36,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:29,FI,FI_0,36,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:39,FI,FI_0,36,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:49,FI,FI_0,35.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:59,FI,FI_0,35.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:09,FI,FI_0,35.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:19,FI,FI_0,35.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:29,FI,FI_0,35.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:39,FI,FI_0,35.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:49,FI,FI_0,35.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:59,FI,FI_0,34.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:09,FI,FI_0,34.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:19,FI,FI_0,34.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:29,FI,FI_0,34.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:39,FI,FI_0,34.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:49,FI,FI_0,34.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:59,FI,FI_0,34.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:09,FI,FI_0,34.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:19,FI,FI_0,34.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:29,FI,FI_0,34.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:39,FI,FI_0,33.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:49,FI,FI_0,34.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:59,FI,FI_0,34.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:09,FI,FI_0,34.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:19,FI,FI_0,33.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:29,FI,FI_0,33.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:39,FI,FI_0,33.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:49,FI,FI_0,33,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:59,FI,FI_0,33.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:09,FI,FI_0,33.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:19,FI,FI_0,33,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:29,FI,FI_0,33.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:39,FI,FI_0,33,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:49,FI,FI_0,33,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:59,FI,FI_0,34.2,H,,,,,,,,,,,,,,,,,
0,9/3/16 15:09,FI,FI_0,33.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:19,Moneybogue,MBC_0,49.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:29,Moneybogue,MBC_0,48.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:39,Moneybogue,MBC_0,NA,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:49,Moneybogue,MBC_0,47.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:59,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:09,Moneybogue,MBC_0,45.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:19,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:29,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:39,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:49,Moneybogue,MBC_0,45.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:59,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:09,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:19,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:29,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:39,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:49,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:59,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:09,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:19,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:29,Moneybogue,MBC_0,46.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:39,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:49,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 18:59,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:09,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:19,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:29,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 19:39,Moneybogue,MBC_0,46.8,H,,,,,,,,,,,,,,,,,
