type,threshold,numberFound,avgDurMinutes,avgAvgDO,duration_hours,count*av_dur/av_mag
<1.0,0.99,1,109.99,0.81,1.83,2.26
<2.0,1.99,1,180,1.34,3,2.24
<3.0,2.99,4,107.5,2.73,1.79,2.62
<3.5,3.49,6,116.66,3.18,1.94,3.66
<4.8,4.79,23,182.17,4.39,3.04,15.93
