Site,hb_sensor,treatment,block,min_10,min_20,min_30,min_40,min_50,min_60,min_70,min_80,min_90,min_100,min_110,min_120
FI,0,hypoxic,1,NA,37.8,42,NA,46.2,45.6,NA,43.2,44.4,44.4,44.4,44.4
MB,0,hypoxic,1,36.6,35.4,36.6,43.8,51,53.4,52.8,51,50.4,49.2,48.6,NA
Nicoll Bay,0,hypoxic,1,39.6,36.6,40.2,45.6,50.4,49.2,49.2,49.2,48,45.6,43.8,43.2
Quantuck,0,hypoxic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,47.4
Sag Harbor,0,hypoxic,1,30.6,30.6,32.4,37.2,42.6,42.6,42.6,43.8,45,44.4,43.8,43.2
FI,2,hypoxic,2,42.6,41.4,49.8,52.8,54,53.4,53.4,51.6,53.4,53.4,52.8,54.6
MB,2,hypoxic,2,NA,NA,NA,37.8,NA,NA,NA,NA,NA,NA,NA,NA
Nicoll Bay,2,hypoxic,2,39,37.8,39.6,40.8,42,40.2,37.2,38.4,39.6,38.4,38.4,37.8
Quantuck,2,hypoxic,2,42,37.8,43.8,46.2,45.6,43.8,42,40.8,43.2,42.6,42.6,42.6
Sag Harbor,2,hypoxic,2,38.4,39.6,40.2,42,42.6,40.8,38.4,37.8,37.2,37.8,37.8,37.8
MB,4,hypoxic,3,26.4,25.8,27.6,,34.8,38.4,38.4,38.4,39.6,38.4,36,35.4
Nicoll Bay,4,hypoxic,3,37.8,34.2,34.8,42.6,46.8,48.6,48.6,48,49.2,49.2,47.4,45
Quantuck,4,hypoxic,3,34.8,34.8,39.6,43.2,43.2,43.2,42,41.4,41.4,41.4,39.6,37.8
Sag Harbor,4,hypoxic,3,NA,NA,NA,39,42.6,43.2,43.8,43.2,45,45,43.2,42
FI,6,hypoxic,4,43.2,42.6,45,51,53.4,54.6,49.8,55.2,50.4,49.8,54,48.6
MB,6,hypoxic,4,38.4,NA,35.4,39.6,40.2,38.4,32.4,34.8,31.8,NA,NA,30
Nicoll Bay,6,hypoxic,4,45,46.2,47.4,47.4,36.6,28.2,NA,NA,NA,NA,NA,NA
Quantuck,6,hypoxic,4,34.8,33,NA,NA,41.4,NA,39.6,NA,40.2,39.6,39.6,39
Sag Harbor,6,hypoxic,4,37.2,37.2,42,44.4,45.6,46.8,43.8,43.8,43.2,42.6,42,41.4
FI,1,normoxic,1,38.4,33.6,35.4,37.8,39,34.2,37.8,37.2,35.4,35.4,33,NA
MB,1,normoxic,1,34.8,33.6,NA,31.8,31.8,30,31.2,40.8,34.8,34.8,31.2,28.8
Nicoll Bay,1,normoxic,1,34.8,34.8,43.2,37.8,36.6,36,35.4,34.8,34.8,36,35.4,34.2
Quantuck,1,normoxic,1,34.2,36,31.8,31.8,34.8,33,36.6,31.8,33,31.8,31.2,31.8
Sag Harbor,1,normoxic,1,33.6,33.6,34.2,33.6,33.6,32.4,36.6,33.6,36,33,31.8,31.8
FI,3,normoxic,2,24,25.2,29.4,27,31.8,30,34.2,34.8,31.8,30.6,33,28.8
MB,3,normoxic,2,31.8,28.2,27.6,NA,28.8,28.8,28.2,31.2,29.4,28.8,33,28.8
Nicoll Bay,3,normoxic,2,32.4,33.6,31.2,NA,30,NA,37.2,34.8,34.8,37.2,NA,31.8
Quantuck,3,normoxic,2,NA,NA,NA,NA,NA,NA,NA,45,42,43.8,43.2,45
Sag Harbor,3,normoxic,2,NA,33,29.4,27,33.6,37.8,32.4,33.6,37.2,37.2,39.6,35.4
FI,5,normoxic,3,NA,46.8,43.8,46.8,40.8,40.2,37.8,36.6,36,NA,36,34.2
MB,5,normoxic,3,NA,36,NA,NA,NA,NA,NA,34.2,NA,NA,34.2,36
Nicoll Bay,5,normoxic,3,39.6,36.6,36,34.8,32.4,31.2,30.6,30,29.4,30,30,29.4
Quantuck,5,normoxic,3,NA,NA,34.8,32.4,27.6,27.6,27,31.2,28.2,26.4,28.2,34.8
Sag Harbor,5,normoxic,3,36.6,37.2,36,34.8,34.2,33.6,33,33,31.8,32.4,33,33.6
FI,7,normoxic,4,39,37.8,51,40.8,41.4,NA,42.6,40.8,43.8,41.4,40.2,40.2
MB,7,normoxic,4,36,34.8,34.8,35.4,36,39.6,37.8,37.8,37.8,38.4,39.6,39.6
Nicoll Bay,7,normoxic,4,31.2,31.2,36,32.4,32.4,34.8,35.4,35.4,36,36,36.6,33.6
Quantuck,7,normoxic,4,28.8,29.4,30.6,32.4,37.8,36,34.2,28.8,34.2,29.4,32.4,30.6
Sag Harbor,7,normoxic,4,40.2,40.2,40.8,40.2,40.2,39.6,37.8,39.6,40.2,39,40.2,40.2
