type,threshold,numberFound,avgDurMinutes,avgAvgDO,duration_hours,count*av_dur/av_mag
<1.0,0.99,11,203.64,0.78,3.39,47.81
<2.0,1.99,15,322,1.42,5.37,56.73
<3.0,2.99,30,320.67,2.23,5.34,71.84
<3.5,3.49,34,383.24,2.63,6.39,82.61
<4.8,4.79,47,502.13,3.65,8.37,107.78
