Date_Time,FI,SAG,QTK,NCB,MBC
7/16/2016 8:00,0,-1.8,-0.476666667,0.118333333,-2.295
7/16/2016 9:00,-0.14,0.03,0.07,0.148333333,-0.221666667
7/16/2016 10:00,-0.138333333,-0.261666667,-0.723333333,-1.265,0.281666667
7/16/2016 11:00,0.015,0.271666667,0.3,0.22,0.631666667
7/16/2016 12:00,0.276666667,0.328333333,0.451666667,-0.611666667,-1.275
7/16/2016 13:00,-0.246666667,0.493333333,0.113333333,0.333333333,0.591666667
7/16/2016 14:00,-0.016666667,0.781666667,1.185,3.006666667,1.54
7/16/2016 15:00,0.2,0.848333333,2.053333333,1.521666667,2.33
7/16/2016 16:00,0.05,0.218333333,0.58,0.833333333,1.901666667
7/16/2016 17:00,0.273333333,0.146666667,1.076666667,-0.328333333,0.921666667
7/16/2016 18:00,0.283333333,0.213333333,-0.41,-0.011666667,0.426666667
7/16/2016 19:00,0.083333333,0.375,-0.616666667,-0.265,0.053333333
7/16/2016 20:00,-0.011666667,-0.143333333,0.905,-0.071666667,-0.663333333
7/16/2016 21:00,-0.1,-0.086666667,-2.153333333,0.426666667,-0.036666667
7/16/2016 22:00,0.035,-0.313333333,-0.143333333,-0.82,-0.34
7/16/2016 23:00,0.045,-0.193333333,-0.445,-1.363333333,-0.758333333
7/17/2016 0:00,0.121666667,-0.895,0.626666667,-0.008333333,-1.455
7/17/2016 1:00,-0.136666667,-0.665,1.505,-0.481666667,-0.3
7/17/2016 2:00,0.041666667,0.795,-1.088333333,-0.411666667,-1.671666667
7/17/2016 3:00,-0.335,0.74,-0.685,-0.766666667,0.085
7/17/2016 4:00,-0.321666667,-0.213333333,-1.198333333,0.176666667,-0.853333333
7/17/2016 5:00,-0.04,0.193333333,-0.101666667,-0.911666667,0.268333333
7/17/2016 6:00,-0.53,-0.331666667,-0.96,-0.743333333,-2.241666667
7/17/2016 7:00,0.363333333,-0.193333333,-0.29,0.813333333,1.39
7/17/2016 8:00,-0.276666667,-0.638333333,-1.061666667,-1.118333333,-1.18
7/17/2016 9:00,0.081666667,-0.385,-0.191666667,-0.118333333,0.158333333
7/17/2016 10:00,-0.18,-0.09,-0.143333333,-0.395,-0.143333333
7/17/2016 11:00,-0.025,-0.233333333,-0.653333333,-0.026666667,-0.095
7/17/2016 12:00,0.38,0.326666667,0.606666667,0.35,0.228333333
7/17/2016 13:00,0.451666667,-0.02,1.921666667,0.711666667,-0.495
7/17/2016 14:00,0.008333333,-0.148333333,1.506666667,0.173333333,0.09
7/17/2016 15:00,-0.17,0.735,0.825,0.936666667,2.115
7/17/2016 16:00,0.17,0.85,0.428333333,1.625,3.53
7/17/2016 17:00,-0.385,0.145,2.225,1.071666667,1.77
7/17/2016 18:00,0.153333333,0.406666667,1.336666667,1.008333333,0.721666667
7/17/2016 19:00,0.185,0.466666667,-1.575,1.048333333,0.686666667
7/17/2016 20:00,0.5,0.501666667,0.133333333,-2.006666667,-0.458333333
7/17/2016 21:00,0.183333333,-0.506666667,-0.88,0.345,-0.515
7/17/2016 22:00,-0.31,-0.251666667,-1.1,-0.47,-0.171666667
7/17/2016 23:00,0.328333333,0.073333333,-2.503333333,-1.903333333,-0.773333333
7/18/2016 0:00,0.255,-0.468333333,-0.988333333,-0.35,-1.201666667
7/18/2016 1:00,-0.165,-1.16,1.675,1.19,-1.616666667
7/18/2016 2:00,0.02,-0.006666667,-0.091666667,-1.268333333,-0.72
7/18/2016 3:00,-0.093333333,-0.04,-0.358333333,-0.35,-0.363333333
7/18/2016 4:00,-0.29,0.746666667,-0.741666667,0.106666667,-0.606666667
7/18/2016 5:00,-0.206666667,0.046666667,-0.803333333,1.29,-0.526666667
7/18/2016 6:00,-0.171666667,-0.038333333,-0.65,-0.455,-0.863333333
7/18/2016 7:00,-0.206666667,-0.288333333,-0.385,-0.97,-0.978333333
7/18/2016 8:00,-0.16,-0.453333333,-0.468333333,0.071666667,-1.248333333
7/18/2016 9:00,-0.223333333,-0.941666667,-0.74,0.261666667,-0.058333333
7/18/2016 10:00,-0.025,-0.731666667,-0.2,0.631666667,0.335
7/18/2016 11:00,-0.186666667,0.426666667,0.288333333,0.413333333,0.018333333
7/18/2016 12:00,0.273333333,0.23,1.556666667,0.31,0.473333333
7/18/2016 13:00,0.315,0.298333333,0.888333333,0.001666667,0.308333333
7/18/2016 14:00,0.418333333,0.146666667,0.628333333,0.966666667,0.883333333
7/18/2016 15:00,-0.12,-0.12,1.526666667,0.621666667,2.103333333
7/18/2016 16:00,-0.05,0.611666667,1.748333333,1.211666667,3.508333333
7/18/2016 17:00,-0.196666667,0.738333333,1.681666667,1.101666667,1.391666667
7/18/2016 18:00,0.323333333,0.633333333,2.258333333,0.015,0.773333333
7/18/2016 19:00,0.023333333,-0.073333333,2.728333333,-0.526666667,0.241666667
7/18/2016 20:00,0.275,-0.026666667,-0.768333333,-0.811666667,-0.266666667
7/18/2016 21:00,0.256666667,0.106666667,-1.123333333,0.196666667,-0.98
7/18/2016 22:00,0.008333333,-0.501666667,-0.476666667,-0.013333333,-1.041666667
7/18/2016 23:00,-0.268333333,-0.35,-1.181666667,-0.215,-0.506666667
7/19/2016 0:00,0.19,-0.341666667,0.251666667,-0.65,-1.006666667
7/19/2016 1:00,0.103333333,-0.125,-0.848333333,-0.42,-0.69
7/19/2016 2:00,-0.031666667,-0.04,-0.625,-0.853333333,-0.026666667
7/19/2016 3:00,-0.068333333,-0.21,-1.303333333,0.295,-1.326666667
7/19/2016 4:00,-0.308333333,-0.11,-0.718333333,0.258333333,-1.133333333
7/19/2016 5:00,-0.005,-0.243333333,0.205,0.61,-0.765
7/19/2016 6:00,-0.156666667,0.038333333,-1.971666667,-0.178333333,-1.06
7/19/2016 7:00,-0.22,-0.166666667,-0.615,-0.581666667,0.195
7/19/2016 8:00,-0.196666667,-0.215,0.295,-1.22,-0.706666667
7/19/2016 9:00,-0.001666667,-0.315,-0.13,-0.455,-0.41
7/19/2016 10:00,-0.051666667,-0.238333333,-2.423333333,-0.746666667,0.885
7/19/2016 11:00,-0.316666667,0.196666667,0.3,0.916666667,0.41
7/19/2016 12:00,0.14,0.35,1.278333333,1.98,0.158333333
7/19/2016 13:00,-0.105,0.311666667,1.618333333,-2.075,0.006666667
7/19/2016 14:00,0.28,0.271666667,1.653333333,0.543333333,0.618333333
7/19/2016 15:00,0.016666667,0.201666667,1.23,0.433333333,0.15
7/19/2016 16:00,0.07,0.336666667,2.75,1.46,-0.2
7/19/2016 17:00,0.278333333,0.385,1.43,0.443333333,1.1
7/19/2016 18:00,-0.113333333,0.14,0.418333333,1.091666667,2.303333333
7/19/2016 19:00,0.423333333,0.358333333,0.478333333,0.38,0.243333333
7/19/2016 20:00,0.261666667,0.213333333,-0.796666667,0.608333333,1.481666667
7/19/2016 21:00,0.04,0.251666667,-1.296666667,-0.461666667,-0.24
7/19/2016 22:00,-0.186666667,0.37,-1.6,-0.375,-0.416666667
