TIME,TIME_NUM_FORMAT,DO
7/14/2016 0:00,42565,9.75
7/14/2016 0:10,42565.00694,9.35
7/14/2016 0:20,42565.01389,9.26
7/14/2016 0:30,42565.02083,9.27
7/14/2016 0:40,42565.02778,9.95
7/14/2016 0:50,42565.03472,10
7/14/2016 1:00,42565.04167,9.86
7/14/2016 1:10,42565.04861,9.99
7/14/2016 1:20,42565.05556,9.98
7/14/2016 1:30,42565.0625,9.5
7/14/2016 1:40,42565.06944,9.54
7/14/2016 1:50,42565.07639,9.61
7/14/2016 2:00,42565.08333,9.7
7/14/2016 2:10,42565.09028,9.75
7/14/2016 2:20,42565.09722,9.72
7/14/2016 2:30,42565.10417,9.34
7/14/2016 2:40,42565.11111,9.44
7/14/2016 2:50,42565.11806,9.54
7/14/2016 3:00,42565.125,9.61
7/14/2016 3:10,42565.13194,9.57
7/14/2016 3:20,42565.13889,9.49
7/14/2016 3:30,42565.14583,9.24
7/14/2016 3:40,42565.15278,8.84
7/14/2016 3:50,42565.15972,8.6
7/14/2016 4:00,42565.16667,8.19
7/14/2016 4:10,42565.17361,7.92
7/14/2016 4:20,42565.18056,7.72
7/14/2016 4:30,42565.1875,7.79
7/14/2016 4:40,42565.19444,7.39
7/14/2016 4:50,42565.20139,7.62
7/14/2016 5:00,42565.20833,7.57
7/14/2016 5:10,42565.21528,7.58
7/14/2016 5:20,42565.22222,7.16
7/14/2016 5:30,42565.22917,6.91
7/14/2016 5:40,42565.23611,6.14
7/14/2016 5:50,42565.24306,5.73
7/14/2016 6:00,42565.25,5.28
7/14/2016 6:10,42565.25694,4.57
7/14/2016 6:20,42565.26389,3.75
7/14/2016 6:30,42565.27083,3.31
7/14/2016 6:40,42565.27778,3.12
7/14/2016 6:50,42565.28472,3.57
7/14/2016 7:00,42565.29167,3.07
7/14/2016 7:10,42565.29861,3.29
7/14/2016 7:20,42565.30556,3.52
7/14/2016 7:30,42565.3125,4.44
7/14/2016 7:40,42565.31944,4.36
7/14/2016 7:50,42565.32639,2.91
7/14/2016 8:00,42565.33333,4.3
7/14/2016 8:10,42565.34028,4.2
7/14/2016 8:20,42565.34722,4.19
7/14/2016 8:30,42565.35417,3.79
7/14/2016 8:40,42565.36111,3.9
7/14/2016 8:50,42565.36806,4.89
7/14/2016 9:00,42565.375,4.18
7/14/2016 9:10,42565.38194,3.56
7/14/2016 9:20,42565.38889,4.24
7/14/2016 9:30,42565.39583,4.38
7/14/2016 9:40,42565.40278,3.98
7/14/2016 9:50,42565.40972,4.61
7/14/2016 10:00,42565.41667,4.16
7/14/2016 10:10,42565.42361,3.8
7/14/2016 10:20,42565.43056,3.63
7/14/2016 10:30,42565.4375,2.83
7/14/2016 10:40,42565.44444,2.65
