TIME,TIME_NUM_FORMAT,DO
7/14/2016 20:10:00,42565.84028,7
7/14/2016 20:20:00,42565.84722,6.82
7/14/2016 20:30:00,42565.85417,6.21
7/14/2016 20:40:00,42565.86111,7.68
7/14/2016 20:50:00,42565.86806,6.34
7/14/2016 21:00:00,42565.87500,7.08
7/14/2016 21:10:00,42565.88194,7.9
7/14/2016 21:20:00,42565.88889,5.34
7/14/2016 21:30:00,42565.89583,7.51
7/14/2016 21:40:00,42565.90278,8.55
7/14/2016 21:50:00,42565.90972,7.18
7/14/2016 22:00:00,42565.91667,5.64
7/14/2016 22:10:00,42565.92361,4.37
7/14/2016 22:20:00,42565.93056,9.79
7/14/2016 22:30:00,42565.93750,8.23
7/14/2016 22:40:00,42565.94444,8.51
7/14/2016 22:50:00,42565.95139,9.38
7/14/2016 23:00:00,42565.95833,9.52
7/14/2016 23:10:00,42565.96528,8.14
7/14/2016 23:20:00,42565.97222,8.53
7/14/2016 23:30:00,42565.97917,8.13
7/14/2016 23:40:00,42565.98611,8.34
7/14/2016 23:50:00,42565.99306,8.43
7/15/2016 0:00:00,42566.00000,8.23
7/15/2016 0:10:00,42566.00694,8.09
7/15/2016 0:20:00,42566.01389,7.67
7/15/2016 0:30:00,42566.02083,7.54
7/15/2016 0:40:00,42566.02778,7.92
7/15/2016 0:50:00,42566.03472,7.51
7/15/2016 1:00:00,42566.04167,7.71
7/15/2016 1:10:00,42566.04861,7.81
7/15/2016 1:20:00,42566.05556,7.45
7/15/2016 1:30:00,42566.06250,7.3
7/15/2016 1:40:00,42566.06944,7.34
7/15/2016 1:50:00,42566.07639,7.16
7/15/2016 2:00:00,42566.08333,7.14
7/15/2016 2:10:00,42566.09028,6.69
7/15/2016 2:20:00,42566.09722,6.76
7/15/2016 2:30:00,42566.10417,6.5
7/15/2016 2:40:00,42566.11111,6.37
7/15/2016 2:50:00,42566.11806,6.27
7/15/2016 3:00:00,42566.12500,6.12
7/15/2016 3:10:00,42566.13194,6.21
7/15/2016 3:20:00,42566.13889,6.26
7/15/2016 3:30:00,42566.14583,5.61
7/15/2016 3:40:00,42566.15278,5.84
7/15/2016 3:50:00,42566.15972,5.17
7/15/2016 4:00:00,42566.16667,5.79
7/15/2016 4:10:00,42566.17361,5.9
7/15/2016 4:20:00,42566.18056,5.72
7/15/2016 4:30:00,42566.18750,5.71
7/15/2016 4:40:00,42566.19444,5.5
7/15/2016 4:50:00,42566.20139,5.46
7/15/2016 5:00:00,42566.20833,6.63
7/15/2016 5:10:00,42566.21528,6.38
7/15/2016 5:20:00,42566.22222,4.54
7/15/2016 5:30:00,42566.22917,4.09
7/15/2016 5:40:00,42566.23611,6.54
7/15/2016 5:50:00,42566.24306,6.53
7/15/2016 6:00:00,42566.25000,5.91
7/15/2016 6:10:00,42566.25694,6.02
7/15/2016 6:20:00,42566.26389,5.31
7/15/2016 6:30:00,42566.27083,4.9
7/15/2016 6:40:00,42566.27778,4.27
7/15/2016 6:50:00,42566.28472,4.48
7/15/2016 7:00:00,42566.29167,5.52
7/15/2016 7:10:00,42566.29861,5.46
7/15/2016 7:20:00,42566.30556,5.13
7/15/2016 7:30:00,42566.31250,4.45
7/15/2016 7:40:00,42566.31944,4.82
7/15/2016 7:50:00,42566.32639,4.99
7/15/2016 8:00:00,42566.33333,3.7
7/15/2016 8:10:00,42566.34028,3.97
7/15/2016 8:20:00,42566.34722,3.67
7/15/2016 8:30:00,42566.35417,4.02
7/15/2016 8:40:00,42566.36111,4.12
7/15/2016 8:50:00,42566.36806,3.35
7/15/2016 9:00:00,42566.37500,3.3
7/15/2016 9:10:00,42566.38194,3.4
7/15/2016 9:20:00,42566.38889,3.64
7/15/2016 9:30:00,42566.39583,3.64
7/15/2016 9:40:00,42566.40278,3.97
7/15/2016 9:50:00,42566.40972,3.94
7/15/2016 10:00:00,42566.41667,2.98
7/15/2016 10:10:00,42566.42361,4.03
7/15/2016 10:20:00,42566.43056,4.3
7/15/2016 10:30:00,42566.43750,4.63
7/15/2016 10:40:00,42566.44444,4.65
7/15/2016 10:50:00,42566.45139,4.54
7/15/2016 11:00:00,42566.45833,4.14
7/15/2016 11:10:00,42566.46528,4.05
7/15/2016 11:20:00,42566.47222,4.02
7/15/2016 11:30:00,42566.47917,4.35
7/15/2016 11:40:00,42566.48611,3.95
7/15/2016 11:50:00,42566.49306,4.46
7/15/2016 12:00:00,42566.50000,4.64
7/15/2016 12:10:00,42566.50694,4.52
7/15/2016 12:20:00,42566.51389,4.07
7/15/2016 12:30:00,42566.52083,4.46
7/15/2016 12:40:00,42566.52778,4.94
7/15/2016 12:50:00,42566.53472,4.95
7/15/2016 13:00:00,42566.54167,6.18
7/15/2016 13:10:00,42566.54861,6.26
7/15/2016 13:20:00,42566.55556,6.5
7/15/2016 13:30:00,42566.56250,5.47
7/15/2016 13:40:00,42566.56944,6.17
7/15/2016 13:50:00,42566.57639,6.64
7/15/2016 14:00:00,42566.58333,6.58
7/15/2016 14:10:00,42566.59028,6.99
7/15/2016 14:20:00,42566.59722,7.32
7/15/2016 14:30:00,42566.60417,7.55
7/15/2016 14:40:00,42566.61111,8.1
7/15/2016 14:50:00,42566.61806,7.96
7/15/2016 15:00:00,42566.62500,8.18
7/15/2016 15:10:00,42566.63194,8.24
7/15/2016 15:20:00,42566.63889,8.92
7/15/2016 15:30:00,42566.64583,8.91
7/15/2016 15:40:00,42566.65278,8.83
7/15/2016 15:50:00,42566.65972,8.92
7/15/2016 16:00:00,42566.66667,8.5
7/15/2016 16:10:00,42566.67361,8.64
7/15/2016 16:20:00,42566.68056,8.9
